witten_bell	order1	126
witten_bell	order2	127
witten_bell	order3	146
witten_bell	order4	136
witten_bell	order5	143
witten_bell	order6	146
witten_bell	order7	137
witten_bell	order8	133
witten_bell	order9	152
witten_bell	order10	163
absolute	order1	122
absolute	order2	127
absolute	order3	130
absolute	order4	135
absolute	order5	141
absolute	order6	147
absolute	order7	147
absolute	order8	142
absolute	order9	149
absolute	order10	160
katz	order1	150
katz	order2	153
katz	order3	153
katz	order4	159
katz	order5	165
katz	order6	171
katz	order7	155
katz	order8	170
katz	order9	170
katz	order10	166
kneser_ney	order1	136
kneser_ney	order2	132
kneser_ney	order3	143
kneser_ney	order4	145
kneser_ney	order5	147
kneser_ney	order6	158
kneser_ney	order7	157
kneser_ney	order8	161
kneser_ney	order9	166
kneser_ney	order10	169
presmoothed	order1	131
presmoothed	order2	132
presmoothed	order3	136
presmoothed	order4	137
presmoothed	order5	145
presmoothed	order6	156
presmoothed	order7	161
presmoothed	order8	164
presmoothed	order9	162
presmoothed	order10	161
unsmoothed	order1	151
unsmoothed	order2	158
unsmoothed	order3	160
unsmoothed	order4	168
unsmoothed	order5	169
unsmoothed	order6	171
unsmoothed	order7	165
unsmoothed	order8	168
unsmoothed	order9	172
unsmoothed	order10	174
