Smooth\order	order-1	order-2	order-3	order-4	order-5	order-6	order-7	order-8	order-9	order-10	
"witten_bell"	88.84	92.68	92.62	92.86	92.90	92.01	91.51	91.79	91.67	91.79
"absolute"	88.84	92.69	92.65	92.85	92.88	92.89	92.26	92.16	92.24	92.29
"katz"	88.84	92.62	92.09	91.88	88.16	88.06	87.75	87.80	87.92	88.18
"kneser_ney"	88.84	92.68	92.64	92.78	92.90	92.81	92.64	92.51	92.67	92.69
"presmoothed"	88.84	92.65	90.74	89.97	90.00	90.12	90.04	90.07	90.30	90.23
"unsmoothed"	88.84	92.60	92.55	92.67	92.83	92.69	92.61	92.44	92.67	92.54
