Smooth\order	order-1	order-2	order-3	order-4	order-5	order-6	order-7	order-8	order-9	order-10	
"witten_bell"	55.47	78.49	76.55	77.00	76.92	74.23	70.48	71.92	71.94	72.19
"absolute"	55.47	78.49	76.65	77.05	76.85	76.92	74.13	73.82	74.01	73.94
"katz"	55.47	78.00	75.57	72.46	56.85	56.84	56.28	56.23	56.87	57.49
"kneser_ney"	55.47	78.41	76.67	76.75	76.68	76.61	75.60	75.37	75.63	75.77
"presmoothed"	55.47	78.39	64.81	62.28	62.25	62.80	62.42	62.66	64.27	63.89
"unsmoothed"	55.47	78.37	76.53	77.03	77.23	76.60	76.13	75.78	76.57	76.25
