Smooth\order	order-1	order-2	order-3	order-4	order-5	order-6	order-7	order-8	order-9	order-10	
"witten_bell"	57.62	76.31	75.52	76.07	76.17	73.54	71.12	72.12	72.04	72.25
"absolute"	57.62	76.31	75.62	76.04	76.00	76.03	74.09	73.48	73.66	73.63
"katz"	57.62	75.84	74.05	73.12	63.19	63.51	62.80	62.66	63.28	63.70
"kneser_ney"	57.62	76.27	75.67	76.04	76.01	75.83	75.15	74.71	74.93	75.14
"presmoothed"	57.62	76.21	67.95	67.01	66.75	67.26	66.81	66.87	67.65	67.27
"unsmoothed"	57.62	76.15	75.46	75.85	75.90	75.50	75.17	74.58	75.24	75.05
