1	witten_bell	order1	126
2	witten_bell	order2	127
3	witten_bell	order3	146
4	witten_bell	order4	136
5	witten_bell	order5	143
6	witten_bell	order6	146
7	witten_bell	order7	137
8	witten_bell	order8	133
9	witten_bell	order9	152
10	witten_bell	order10	163
11	absolute	order1	122
12	absolute	order2	127
13	absolute	order3	130
14	absolute	order4	135
15	absolute	order5	141
16	absolute	order6	147
17	absolute	order7	147
18	absolute	order8	142
19	absolute	order9	149
20	absolute	order10	160
21	katz	order1	150
22	katz	order2	153
23	katz	order3	153
24	katz	order4	159
25	katz	order5	165
26	katz	order6	171
27	katz	order7	155
28	katz	order8	170
29	katz	order9	170
30	katz	order10	166
31	kneser_ney	order1	136
32	kneser_ney	order2	132
33	kneser_ney	order3	143
34	kneser_ney	order4	145
35	kneser_ney	order5	147
36	kneser_ney	order6	158
37	kneser_ney	order7	157
38	kneser_ney	order8	161
39	kneser_ney	order9	166
40	kneser_ney	order10	169
41	presmoothed	order1	131
42	presmoothed	order2	132
43	presmoothed	order3	136
44	presmoothed	order4	137
45	presmoothed	order5	145
46	presmoothed	order6	156
47	presmoothed	order7	161
48	presmoothed	order8	164
49	presmoothed	order9	162
50	presmoothed	order10	161
51	unsmoothed	order1	151
52	unsmoothed	order2	158
53	unsmoothed	order3	160
54	unsmoothed	order4	168
55	unsmoothed	order5	169
56	unsmoothed	order6	171
57	unsmoothed	order7	165
58	unsmoothed	order8	168
59	unsmoothed	order9	172
60	unsmoothed	order10	174
