Smooth\order	"witten_bell"	"absolute"	"katz"	
order-1	51.75	51.75	51.75	
order-2	75.66		75.34	
order-3	74.70	74.66	72.92	
order-4	74.94	75.03	71.95	
order-5	75.16	75.10	62.34	
order-6	72.06	75.24	62.08	
order-7		73.53	60.96	
order-8	71.19		60.56	
order-9	71.56	73.35	61.03	
order-10	71.65	73.34	61.60	
