Smooth\order	"witten_bell"	"absolute"	"katz"	
order-1	53.53	53.53	53.53	
order-2	73.51		73.24	
order-3	73.60	73.60	71.22	
order-4	73.88	73.97	72.41	
order-5	74.34	74.24	70.03	
order-6	71.40	74.24	70.67	
order-7		73.33	68.93	
order-8	71.22		68.47	
order-9	71.49	72.78	68.74	
order-10	71.59	72.87	69.02	
