Smooth\order	order-1	order-2	order-3	order-4	order-5	order-6	order-7	order-8	order-9	order-10	
"witten_bell"	87.99	92.41	92.27	92.44	92.50	91.36		91.56	91.57	91.64
"absolute"	87.99		92.24	92.48	92.48	92.57	92.06		92.16	92.15
"katz"	87.99	92.34	91.74	91.46	87.85	87.40	87.13	87.09	87.23	87.47
