Smooth\order	order-1	order-2	order-3	order-4	order-5	order-6	order-7	order-8	order-9	order-10	
"witten_bell"	50.09	77.94	75.83	76.04	76.01	72.74		71.15	71.63	71.72
"absolute"	50.09		75.75	76.13	75.98	76.27	73.73		73.93	73.82
"katz"	50.09	77.57	74.71	71.49	56.18	55.35	54.65	54.29	54.86	55.61
