Smooth\order	order-1	order-2	order-3	order-4	order-5	order-6	order-7	order-8	order-9	order-10	
"witten_bell"	51.75	75.66	74.70	74.94	75.16	72.06		71.19	71.56	71.65
"absolute"	51.75		74.66	75.03	75.10	75.24	73.53		73.35	73.34
"katz"	51.75	75.34	72.92	71.95	62.34	62.08	60.96	60.56	61.03	61.60
