Smooth\order	"witten_bell"	"absolute"	"katz"	
order-1	50.09	50.09	50.09	
order-2	77.94		77.57	
order-3	75.83	75.75	74.71	
order-4	76.04	76.13	71.49	
order-5	76.01	75.98	56.18	
order-6	72.74	76.27	55.35	
order-7		73.73	54.65	
order-8	71.15		54.29	
order-9	71.63	73.93	54.86	
order-10	71.72	73.82	55.61	
