Smooth\order	order-1	order-2	order-3	order-4	order-5	order-6	order-7	order-8	order-9	order-10	
"witten_bell"	53.53	73.51	73.60	73.88	74.34	71.40		71.22	71.49	71.59
"absolute"	53.53		73.60	73.97	74.24	74.24	73.33		72.78	72.87
"katz"	53.53	73.24	71.22	72.41	70.03	70.67	68.93	68.47	68.74	69.02
